candidate_id,capability,repository,branch,path,commit_or_version,predecessor,successor,approval_evidence,implementation_evidence,verification_evidence,known_defects,dependencies,external_services,security_or_license,V2_relevance,V2_owner,classification,confidence,contamination_risk,migration_difficulty,time_saved
V1-011,Quark visual asset,ng549/Merchant-PRO,feature/nexus-approved-shared-design,src/assets/quark-approved-reference.js,4c6f1060a8b4937e4a5e9af841585e6a8aac3f12,earlier mascot render,V2 design asset registry,explicit approved reference,Embedded asset,visual QA,source/provenance rights should be confirmed,design shell,None,asset provenance check,Medium,Worker 11,ADAPT,MEDIUM,LOW,LOW,1-2 days
V1-012,Quark CSS/SVG renderer,ng549/Merchant-PRO,feature/mhc-project-foundation,src/quark-character.js,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,earlier generated/vector attempts,later V2 renderer TBD,behavior approved,Implemented,QA/motion tests,brittle screenshot-atlas clipping and CSS state machine,DOM+asset,None,N/A,Medium,Worker 11,REBUILD,HIGH,MEDIUM-HIGH,MEDIUM,1-3 days as reference
V1-013,Approved shared visual shell,ng549/Merchant-PRO,feature/mhc-project-foundation,src/nexus-shared-theme.js,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,India/layout branches,V2 design system,operator/India approvals,Implemented,Browser QA,override-heavy old DOM coupling,old UI DOM,None,N/A,High,Worker 11,REBUILD,HIGH,HIGH,MEDIUM,3-5 days visual-reference reuse
V1-014,Header behavior,ng549/Merchant-PRO,feature/mhc-project-foundation,src/nexus-shared-theme.js + qa/nexus-design.spec.mjs,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,header-location-menu/button-depth,foundation merged shared design,explicit operator corrections,Implemented,Automated geometry assertions,known repeated regressions,old shell DOM,weather/location APIs,N/A,High,Worker 11,REFERENCE ONLY,HIGH,MEDIUM,LOW,2 days acceptance reuse
V1-015,Mobile shell/accessibility,ng549/Merchant-PRO,feature/nexus-button-depth-mobile-header,src/nexus-shared-theme.js,7a9d5d46324f3b05c7b8c527da6e2ed80e676849,fix/mobile-menu-accessibility,V2 responsive shell,operator requirement,Implemented branch,multi-width browser verification in commit title,old override CSS,UI shell,None,N/A,High,Worker 11,REFERENCE ONLY,MEDIUM,MEDIUM,LOW,1-2 days tests
V1-016,Customer adaptive forms,ng549/Merchant-PRO,feature/mhc-project-foundation,src/nexus-tasks.js NX-010,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,none found,V2 client lifecycle,explicit operator requirement,Planning only,NO verified implementation,no donor implementation found,task/project model,None,N/A,High,Worker 6+9+11,REBUILD,HIGH,LOW,MEDIUM,requirements only
V1-017,AI cost ledger,ng549/Merchant-PRO,feature/mhc-project-foundation,src/index.js handleCosts/recordCost,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,manual usage log,later billing reconciliation,operator cost requirement,Implemented,source/test evidence,JS float + Sheet ledger + MHC coupling,Sheets+providers,Google+xAI+Cloudflare+Perplexity,financial correctness,High,Worker 8+10,REBUILD,HIGH,HIGH,MEDIUM,2-4 days concepts
V1-018,Billing reconciliation jobs,ng549/Merchant-PRO,main/.history,.github/workflows/reconcile-mhc-costs.yml,c072e790/7e057999/3d8f1d4,manual reconciliation,V2 normalized ledger,operator requirement,Implemented commits,workflow evidence; runtime current unknown,MHC sheet/service-account coupling,GitHub Actions+billing APIs,Google+xAI+Cloudflare,secrets+financial,High,Worker 10,REFERENCE ONLY,HIGH,HIGH,LOW-MEDIUM,1-2 days provider API logic
V1-019,BYOK non-fallback policy,ng549/Merchant-PRO,feature/mhc-project-foundation,src/assistant.js,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,provider-specific assistant,V2 canonical hard rule,explicit binding rule,Policy implemented in prompt/rules,No complete credential isolation proof,incomplete BYOK mechanism,AI gateway+identity,OpenAI+xAI,critical isolation,High,Worker 8,REFERENCE ONLY,HIGH,LOW,LOW,policy only
V1-020,OAuth/session implementation,ng549/Merchant-PRO,feature/mhc-project-foundation,src/index.js,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,older allowlist auth,later invitations,V1 behavior,Implemented,source evidence,write scopes despite read-only comment + token cookie + multi-authority access,Google OAuth+cookie,Google,security high,High,Worker 6,REBUILD,HIGH,HIGH,HIGH,0 days code reuse
V1-021,Recovered production-era Worker,ng549/nexus,recovery/mhc-hud-nx006-production-2026-09-11,recovery/mhc-hud-nx006/*,cee8c13-bfba-4eb4-847f-dbd0d69872d9,claude/hud-step3,Merchant-PRO later source,historical deployment evidence,Recovered production package,23 tests passed at recovery,old mixed architecture,Google+GitHub+Cloudflare,Cloudflare,legacy only,Medium,Worker 1/12,REFERENCE ONLY,HIGH,HIGH,N/A,high provenance value
V1-022,Source reconciliation manifest,ng549/nexus,cleanup/source-reconciliation-2026-09-12,NEXUS-SOURCE-MANIFEST.md,branch artifact,pre-cleanup recovery,V2 canonical source governance,technical evidence,Documentation,verified inventory at time,dated/current status may differ,GitHub+Cloudflare+Drive,Cloudflare+Drive,N/A,High,Worker 1,REFERENCE ONLY,HIGH,LOW,LOW,1-2 days investigation saved
V1-023,Deployment workflow,ng549/Merchant-PRO,feature/mhc-project-foundation,.github/workflows/deploy-mhc-nexus.yml,foundation historical,manual/deployment bridge,V2 release system,NX-023 historical,Implemented,check/test/deploy/post-check workflow,feature-branch coupling + broad secret sync,GitHub Actions+Wrangler,Cloudflare,secrets high,High,Worker 9+10,REFERENCE ONLY,HIGH,HIGH,MEDIUM,1-2 days pattern reuse
V1-024,MHC Drive/Sheet HUD model,ng549/Merchant-PRO,feature/mhc-project-foundation,src/index.js readDriveJson/readSheetFallback,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,old MHC Control Center,V2 project module boundary,historical MHC requirements,Implemented,source evidence,project-specific and stale dual source,Google OAuth+MHC files,Google Drive/Sheets,data isolation,Low core/Future MHC,Future Merchant PRO module,DISCARD,HIGH,HIGH,N/A,0
V1-025,Cabinet hardcoded renderer/project record,ng549/Merchant-PRO,feature/mhc-project-foundation,src/index.js,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,temporary integration,V2 separate project/module,operator requirement Cabinet project exists,Implemented route/source,Current behavior unverified,project-specific assumptions in core,project shell,None,data separation,Low core/Future Cabinet,Future Cabinet module,DISCARD,HIGH,HIGH,N/A,0
